Step,Time,Vehicles,J1_Phase,J2_Phase,J1_Queue,J2_Queue,Total_Queue,Network_Delay
4440,4440,27,0,-1,1,0,1,3.4285714285714284
4450,4450,25,0,-1,2,0,2,6.0
4460,4460,24,0,-1,3,0,3,10.333333333333334
4470,4470,21,2,-1,2,0,2,4.0
4480,4480,19,2,-1,1,0,1,3.6666666666666665
4490,4490,19,2,-1,1,0,1,7.75
4500,4500,18,2,-1,1,0,1,12.75
4510,4510,17,3,-1,2,0,2,20.5
4520,4520,15,0,-1,0,0,0,0.0
4530,4530,14,0,-1,0,0,0,0.0
4540,4540,12,0,-1,0,0,0,0.0
4550,4550,12,0,-1,0,0,0,3.0
4560,4560,12,1,-1,1,0,1,8.75
4570,4570,12,2,-1,2,0,2,10.4
4580,4580,12,2,-1,1,0,1,16.833333333333332
4590,4590,12,2,-1,2,0,2,22.142857142857142
4600,4600,12,3,-1,3,0,3,13.375
4610,4610,10,0,-1,0,0,0,0.0
4620,4620,6,0,-1,0,0,0,0.0
4630,4630,4,0,-1,0,0,0,0.0
4640,4640,25,0,-1,0,0,0,0.75
4650,4650,25,0,-1,0,0,0,2.6
4660,4660,25,2,-1,1,0,1,7.333333333333333
4670,4670,23,2,-1,1,0,1,18.0
4680,4680,23,2,-1,2,0,2,23.5
4690,4690,21,2,-1,2,0,2,14.2
4700,4700,20,0,-1,1,0,1,0.0
4710,4710,19,0,-1,1,0,1,1.8
4720,4720,17,0,-1,2,0,2,3.5
4730,4730,16,0,-1,2,0,2,10.0
4740,4740,16,0,-1,2,0,2,15.2
4750,4750,16,1,-1,2,0,2,19.333333333333332
4760,4760,15,2,-1,0,0,0,11.0
4770,4770,15,2,-1,0,0,0,17.142857142857142
4780,4780,14,2,-1,0,0,0,6.285714285714286
4790,4790,13,3,-1,1,0,1,9.142857142857142
4800,4800,11,0,-1,1,0,1,1.6666666666666667
4810,4810,10,0,-1,1,0,1,3.3333333333333335
4820,4820,8,0,-1,1,0,1,7.0
4830,4830,7,0,-1,1,0,1,13.4
4840,4840,7,1,-1,2,0,2,18.0
4850,4850,28,2,-1,0,0,0,14.0
4860,4860,28,2,-1,0,0,0,19.375
4870,4870,26,2,-1,0,0,0,5.285714285714286
4880,4880,26,2,-1,0,0,0,7.125
4890,4890,25,0,-1,0,0,0,0.0
4900,4900,22,0,-1,1,0,1,0.6666666666666666
4910,4910,19,0,-1,1,0,1,4.25
4920,4920,19,0,-1,2,0,2,10.0
4930,4930,18,0,-1,2,0,2,18.0
4940,4940,18,2,-1,1,0,1,9.5
4950,4950,18,2,-1,2,0,2,12.714285714285714
4960,4960,15,2,-1,1,0,1,2.4
4970,4970,14,2,-1,2,0,2,4.6
4980,4980,14,3,-1,2,1,3,7.666666666666667
4990,4990,11,0,-1,0,1,1,2.25
5000,5000,10,0,-1,0,0,0,1.25
5010,5010,10,0,-1,0,0,0,5.0
5020,5020,9,0,-1,0,0,0,11.0
5030,5030,9,1,-1,0,0,0,14.166666666666666
5040,5040,7,2,-1,0,0,0,23.0
